event,Mw,PGA,GWT,y,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped
San Fernando,6.6,0.45,7.6,0,0.4089481153353518,8.8,72.38123120669059,2.5673270614701567,136.34410060649714,150,2.414663237466317,0.4089481153353518
Edgecumbe,6.6,0.4,1.65,1,0.2806783003322222,6.99,72.73703390663331,2.587127915727494,63.13408386005855,962,36.18943132159215,0.2806783003322222
Edgecumbe,6.6,0.4,1.53,0,0.2823391574383746,7.49,69.44071513414795,1.7715204482494844,77.07207565736351,934,25.452802097453034,0.2823391574383746
Chi-Chi,7.62,0.38,1.0,1,0.23554057980452758,4.71,58.88041331880644,1.807999633495769,42.211601139000194,309,15.038965596559187,0.23554057980452758
Chi-Chi,7.62,0.38,5.0,1,0.351453717592356,7.7700000000000005,64.37630276449448,1.8690070763503581,104.46817367277178,960,13.495985565821208,0.351453717592356
Chi-Chi,7.62,0.38,1.5,1,0.27777664772333743,14.799999999999999,82.7012380284497,2.389582936114976,131.4027317032388,355,13.0252349253118,0.27777664772333743
Loma Prieta,6.93,0.28,2.8,1,0.43177026738212515,10.18,72.69763121501128,1.8750341159391726,107.58874179740742,890,9.195034735281716,0.43177026738212515
Chi-Chi,7.62,0.38,1.0,1,0.20583238724279346,3.0700000000000003,40.91665653377207,1.849627763025381,23.068995214717535,1389,41.11181956994901,0.20583238724279346
Chi-Chi,7.62,0.38,1.0,1,0.2448103014537483,10.03,74.9097456657775,2.5964836546705365,83.77487911339601,895,30.086192364369705,0.2448103014537483
Chi-Chi,7.62,0.38,2.0,0,0.25126032143316523,7.93,63.278816605322696,2.4500416067907613,72.42460376187994,455,18.051937669848805,0.25126032143316523
Chi-Chi,7.62,0.38,5.3,0,0.33739202693159726,16.330000000000002,80.6182582711257,2.324377355404236,176.91446500564925,268,1.597845541868622,0.33739202693159726
Loma Prieta,6.93,0.36,4.9,1,0.3382187579248177,12.18,58.54389356888547,1.7250857260534802,135.85639772686406,1193,17.767206339326357,0.3382187579248177
